split	value
Sp019	100
Sp018	100
Sp017	100
Sp008	100
Sp005	100
Sp000	100
Sp016	100
Sp001	100
Sp009	100
Sp011	100
Sp010	100
Sp002	100
Sp015	100
Sp014	100
Sp013	100
Sp012	100
Sp007	100
Sp006	100
Sp004	100
Sp003	100
Sp018Sp019	1.0
Sp017Sp018Sp019	1.0
Sp000Sp005	0.585
Sp000Sp005Sp008	1.0
Sp000Sp005Sp008Sp017Sp018Sp019	0.9
Sp001Sp016	1.0
Sp000Sp001Sp005Sp008Sp016Sp017Sp018Sp019	0.79
Sp010Sp011	0.975
Sp002Sp010Sp011	0.995
Sp002Sp009Sp010Sp011	0.92
Sp014Sp015	0.67
Sp013Sp014Sp015	1.0
Sp006Sp007	1.0
Sp003Sp004	1.0
Sp003Sp004Sp006Sp007	1.0
Sp003Sp004Sp006Sp007Sp012	0.515
Sp003Sp004Sp006Sp007Sp012Sp013Sp014Sp015	0.145
Sp002Sp003Sp004Sp006Sp007Sp009Sp010Sp011Sp012	0.745
Sp013Sp014	0.33
Sp001Sp013Sp014Sp015Sp016	0.135
Sp000Sp008	0.415
Sp002Sp011	0.025
Sp002Sp009Sp010Sp011Sp012	0.475
Sp003Sp004Sp006Sp007Sp013Sp014Sp015	0.06
Sp001Sp013Sp014Sp015Sp016Sp017Sp018Sp019	0.09
Sp001Sp016Sp017Sp018Sp019	0.065
Sp000Sp003Sp004Sp005Sp006Sp007Sp008	0.06
Sp002Sp003Sp004Sp006Sp007Sp010Sp011Sp012	0.01
Sp000Sp001Sp005Sp008Sp009Sp016Sp017Sp018Sp019	0.015
Sp002Sp010Sp011Sp012	0.055
Sp013Sp014Sp015Sp017Sp018Sp019	0.02
Sp002Sp009	0.005
