split	value
Sp000	100
Sp001	100
Sp002	100
Sp003	100
Sp004	100
Sp005	100
Sp006	100
Sp007	100
Sp008	100
Sp009	100
Sp011	100
Sp010	100
Sp012	100
Sp013	100
Sp014	100
Sp015	100
Sp016	100
Sp017	100
Sp018	100
Sp019	100
Sp000Sp001	1.0
Sp000Sp001Sp002	1.0
Sp000Sp001Sp002Sp003	1.0
Sp000Sp001Sp002Sp003Sp004	1.0
Sp000Sp001Sp002Sp003Sp004Sp005	1.0
Sp000Sp001Sp002Sp003Sp004Sp005Sp006	1.0
Sp000Sp001Sp002Sp003Sp004Sp005Sp006Sp007	1.0
Sp000Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp008	0.745
Sp010Sp011Sp012Sp013Sp014Sp015Sp016Sp017Sp018Sp019	0.955
Sp010Sp011	0.12
Sp012Sp013Sp014Sp015Sp016Sp017Sp018Sp019	1.0
Sp013Sp014Sp015Sp016Sp017Sp018Sp019	1.0
Sp014Sp015Sp016Sp017Sp018Sp019	1.0
Sp015Sp016Sp017Sp018Sp019	1.0
Sp016Sp017Sp018Sp019	1.0
Sp017Sp018Sp019	1.0
Sp018Sp019	1.0
Sp008Sp009	0.255
Sp011Sp012Sp013Sp014Sp015Sp016Sp017Sp018Sp019	0.835
Sp008Sp009Sp010	0.045
Sp008Sp009Sp010Sp011	0.045
